id,term,translation
1,absorb,Anonom
2,absorb,nonom
3,acceleration,Ne mirika
4,action,Adeyɔ
5,adapt,sakra
6,adapt,sesa
7,adaptation,nsakrae
8,adaptation,nsesae
9,adjust,Danedane
10,adult,ɔpanyin
11,advantage,Ediboa
12,affect,biribi
13,air,Mframa
14,air mass,mframa mu duru
15,air pressure,mframa tumi
16,air resistance,mframa a ɛkotia
17,alternate,Ɛsesa sesa
18,alto,fam
19,amount,Ne dodoɔ
20,amplitude,Abuso
21,analyze,Hwehwɛ mu
22,anatomy,Abosuo
23,anatomy,mmoa bɔbea
24,ancestor,Nananom
25,ancient,Tete
26,angle,Angle
27,animal,Aboa
28,Animalia,Mmoadoma
29,appliance,Yɛde di dwuma
30,appliance,adwinnade
31,apply,Fa yɛ adwuma
32,apply,fa di dwuma
33,appropriate,Ɛfata
34,approximately,Fa w’anibu
35,arrange,Hyehyɛ
36,asexual,Onni bɔbeasu
37,assemble,Boa ano
38,asteroid,Wiemboba
39,atmosphere,Ewiem nsɛm
40,atom,Atom
41,atomic number,Atom nɔma
42,available,Ɛwɔ hɔ
43,axis,Ntwaho dua
44,bacteria,Aboawa
45,balance,Nsɛneɛ
46,balance,Nsɛnia
47,balance,Ɛyɛ pɛ
48,bar graph,Nkonta mu nfonin
49,bare,Ɛho da hɔ
50,battery,Batre
51,bed,Mpa
52,behavior,Suban
53,beneficial,Ediboa
54,benefit,Nnepa
55,benefit,mfaso
56,best,nea eye paa
57,binary fission,Emu paepae mmienu
58,bird,Anomaa
59,blink,Bɔ w’ani
60,blizzard,asukɔtweaa
61,block,Si kwan
62,blood tissue,Mogya mu adeɛ
63,blood tissue,nneɛma
64,blossom,Eyi nhwere
65,blossom,ɛyɛ frɔmfrɔm
66,blossom,egu nhwiren
67,boil,Ehuru
68,boiling point,Berɛ a ehuru
69,bone tissue,Dompe mu adeɛ
70,bounce,Ehurihuri
71,brain,Adwene
72,brain,amemene
73,bundle,Bɔ no boa
74,bundle,ka bom
75,bundle,kyekyere
76,buoyancy,emu yɛ hare
77,calcium,Kalseɔm
78,calorie,Aduane duro
79,cancer,Kokoram
80,capillary,Ntini nketenkete paa
81,capture,Kyere
82,carbohydrate,Kabohaidrete
83,carbon (C),Kaabɔn
84,carbon dioxide (CO₂),mframa bɔne
85,category,Akuo
86,caterpillar,Osa
87,celestial,Ɛwɔ wiem
88,cell,Sɛll
89,cell,nkwammoa
90,cell cycle,Sɛll ntwaho
91,cell cycle,nkwammoa kyinhyiadi
92,cell division,Sɛll nkyekyemu
93,cell division,nkwammoa nkyekyɛ mu
94,cell membrane,nkwammoa nnuraho
95,cell theory,Sɛll ho adesua
96,cell theory,nkwammoa ho nkyerɛkyerɛ
97,cell wall,Sɛll ho afasuo
98,cell wall,nkwammoa ho fasu
99,cellular respiration,Sɛll mu ahome
100,cellular respiration,nkwammoa ahome
101,Celsius (°C),Selhyios
102,Celsius (°C),selsiɔs
103,cement,Somente
104,centimeter (cm),Sɛntimeter
105,central nervous system,Adwene mu
106,chain,Ɛsesaso
107,chain,Ɛtoatoa so
108,chain,kɔnsɔnkɔnsɔn
109,change,Ɛsesa
110,change of motion,Asesa n’ahokeka
111,change of speed,Asesa ne mmirika
112,characteristic,Ne su
113,chart,Nfonin
114,chemical,Aduro
115,chemical bond,Aduro no mfamho
116,chemical change,Aduro nsesae
117,chemical energy,Aduro no ahoɔden
118,chemical property,Aduro ne su
119,chemical reaction,Aduro mu nsusuansoɔ
120,chemical system,Aduro mu nhyehyɛeɛ
121,choose,Yi
122,choose,paw
123,chromosome,Kromosome
124,circulation,Ɛfefa baabi
125,circulation,kyinhyiadi
126,classification,Y’ahyehyɛ no akuoakuo
127,classify,Hyehyɛ no akuoakuo
128,climate,Ewiem nsesaeɛ
129,cloud,Mununkum
130,coal,Asaase mu bidie
131,code,Kodu
132,code,ahyɛnsode
133,code,akwankyerɛ
134,cold front,Mframa nwununwunu
135,collect,Gyegye
136,collide,Apem
137,color,Ahosuo
138,column,Afa
139,comfortable,Ahodwoɔ
140,comfortable,ahotɔ
141,communicate,Dinkitaho
142,community,Mpɔtɛmo
143,compare,Fatoto ho
144,competition,Akansie
145,compose,Twa
146,compose,yɛ biribi
147,compound,Mmɔhommɔho
148,compress,Moa
149,compress,mia so
150,Compression,Ademoa
151,Computer,Komputa
152,Conclude,Wie
153,Conclusion,Awieɛ
154,condense,Mframa dane nsuo
155,condition,Tebea
156,conduct,Ahoɔden tumi famu
157,conduction,Sɛ ahoɔden refamu
158,consequences,Nsunsuansoɔ
159,conservation,Adekora
160,conservation of energy,Ɛrekora ahoɔden
161,conservation of mass,Ɛrekora emuduro
162,conserve,Kora
163,consist of,Nea ɛwɔ mu
164,consistent,Ɛntaa nsesa
165,constant,Egyina faako
166,construct,Si
167,consumer,Nea odie
168,contain,Sɔ ano
169,content,Nea ɛwɔ mu
170,continent,Asaasetam
171,contrast,nsɛnia
172,control,Di so
173,coordinate,Toto nneɛma
174,coordination,Ntotoeɛ
175,core,Ne mfinfin
176,covalent bond,Kofalent mfamho
177,create,Nwene
178,crest,Atifi
179,crop,Nɔbaeɛ
180,crust,Ɛho
181,crystal,Ɛboɔ hyɛnhyɛn
182,crystallization,Ɛredane boɔ hyɛnhyɛn
183,cubic,Kubik
184,cubic centimeter,Kubik sɛntimeta
185,cure,Ayaresa
186,cycle,kyinhyia
187,cytoplasm,nkwammoa
188,daily,Da biara da
189,dam,Su tadeɛ
190,data,Data
191,data table,Data pono
192,daylight,Awiabrɛ han
193,decay,Aprɔ
194,decrease,Ɛso ate
195,defend,Banbɔ
196,deficient,Ɛtɔsini
197,define,Kyerɛ aseɛ
198,definite,Ɛtoɔtwa
199,delta,Delta
200,density,Emu duro
201,dependent variable,Deɛ ɔdan obi
202,deposition,Y’atu w’adeɛ so
203,descend,Sane
204,descendants,Asefoɔ
205,describe,Kyeremu
206,desert,Ɛsrɛso
207,design,Sɛdeɛ yɛsi anwene
208,determine,Kyerɛ
209,develop,Yɛ
210,development,Adeyɛ
211,development,nkɔso
212,diagram,Nfonin
213,difference,Nsonsoneɛ
214,direct,Kyerɛkwan
215,directions,Akwankyerɛ
216,directly,Pɔtee
217,discuss,Di ho nkɔmmɔ
218,disperse,Ahyeta
219,disperse,apete
220,dissolve,Ahono
221,distance,Kwan bi tenten
222,distinctive,Ɛdanso
223,distribute,Kyekyɛ
224,disturb,Teetee
225,diversity,Asɔɔtoo
226,diversity,ahorow
227,DNA,DNA
228,dominant,Nhyɛsodeɛ
229,draw,Dwi
230,dump,Totwene
231,earth,Ewiase
232,earth,asase
233,earthquake,Asaase wosoɔ
234,earthworm,Sonsono
235,echo,Nnyegyeɛ
236,eclipse,Bosome akye awia
237,effect,Nsunsuansoɔ
238,efficient,Ɛyɛ n’adwuma yie
239,egg,Kosua
240,electric current,Nyinam tumi
241,electric current,anyinam ahoɔden
242,electrical,Ɛfa nyinam ho
243,electrical circuits,Nyinam ahoɔden ntwaho
244,electricity,Nyinam ahoɔden
245,electromagnet,Elɛktromagnɛte
246,electromagnetic spectrum,Elɛktromagnɛte akwaban
247,electromagnetic waves,Elɛktromagnɛte ahoɔden amunimuni
248,electromagnetism,Ɛfa Elɛktromagnɛte ho
249,electron,Elɛktron
250,elements,Abɔdeɛ mu nneɛma
251,elevation,Mpegya
252,elevation,ma so
253,emit,Epu
254,endothermic,Emu bɔhyew
255,energy,Tumi
256,energy,ahoɔden
257,energy flow,Ahoɔden nsaneɛ
258,energy pyramid,Ahoɔden piramede
259,energy resources,Ahoɔden ho nnepa
260,ensure,Hwɛ sɛ
261,environment,Mmɔntenso
262,environment,mpɔtam
263,Environmental,Ɛfa mmɔntenso ho
264,Environmental,ɛfa mpɔtam ho
265,environmental changes,Mmɔntenso nsesaeɛ
266,equal,Ɛyɛ pɛ
267,equation,Afanu  pɛrepɛreyɔ
268,equator,Asaase mfinfin
269,equilibrium,Pɛyɛ
270,erosion,Susuan
271,error,Mfomsoɔ
272,esophagus,Honhon
273,esophagus,menem
274,establish,Te
275,establish,si
276,establish,yɛ
277,establish,kyerɛ
278,estimate,Fa w’anibu
279,estimation,Deɛ yɛde aniabu
280,evaluate,Susu
281,evaporate,Dane ntutuo
282,evaporation,Ɛdane ntutuo
283,evidence,Adanseɛ
284,evolution,adaanandi
285,example,Mfatoho
286,example,nhwɛso
287,exchange,Edi nsesa
288,exothermic,Ɛho hyew
289,expand,Bae
290,expand,bue mu
291,experiment,Nhwehwɛmu
292,experiment,sɔ biribi hwɛ
293,explain,Kyerɛaseɛ
294,explain,kyerɛkyerɛ mu
295,explanation,Nkyerɛaseɛ
296,explanation,Nkyerɛkyerɛ mu
297,express,Dan adi
298,express,Da no adi
299,external,Abɔnten
300,extinct,Aseɛ ahye
301,fact,Nokwasɛm
302,factor,Deɛ nti
303,Fahrenheit (°F),Fahrenheit
304,Fahrenheit (°F),°F
305,fat,Sradeɛ
306,fault,Atɔkyew
307,fault,mfomso
308,feature,Su
309,features,Su ahodoɔ
310,female sex cell,mmea bɔbeasu nkwammoa
311,fertilizer,Fɛtilaisa
312,fertilizer,ɔyɛ asase yiye
313,fiber,Nhomanhoma
314,fish,Apataa
315,fish,nam
316,flood,Nsuyiri
317,flower,Nhweren
318,flower,nhwiren
319,fluid,Nsuonsuo
320,folded,Abobɔ
321,food,Aduane
322,food chain,Aduane nkɔnsɔnkɔnsɔn
323,food web,Aduane ntentan
324,force,Ahoɔden
325,form,Nwene
326,formation,Adenwene
327,former,Deɛ edi anim
328,formulate,Nwene
329,freezing,Ɛredane nsuboɔ
330,friction,Twitwiri
331,front,Anim
332,fruit,Aduaba
333,filter,Nsɔnesoɔ
334,function,Adeyɔ
335,function of living things,Deɛ Abɔdeɛ yɛ
336,fungi,Fungi
337,fungi,afifide
338,galaxy,Wiemu nsroma ahodoɔ
339,galaxy,nsoromakuw
340,garbage,Nwura
341,gas,Mframagya
342,gas giants,Mframa mu okunin
343,gene,Gene
344,generation,Abɔdeɛ ekuo
345,generation,awo ntoatoaso
346,genetic material,Genetike ho adeɛ
347,genetically,Ɛfa genetike ho
348,genetic variation,Genetike mu adaneadane
349,germination,Ade fefɛ
350,glacier,Asukɔkyea a akantoa
351,global,Ewiase
352,global climate,Ewiase wiem nsakraeɛ
353,global warming,Ewiase hyewbɔ
354,gram (g),Gram
355,gram (g),g
356,graph,Nkonta mu nfonin
357,graphic,Ɛdan adi
358,green plant,Mfueɛ
359,green plant,afifide
360,groundwater,Asaase ase nsuo
361,group,Ekuo
362,grow,Nyini
363,growth,Onyini
364,habit,Suban
365,hardness,Ne denden
366,hardness,ne denyɛ
367,harmful,Etumi pira
368,hazardous,Etumi di awu
369,healthy habit,Suban papa
370,hearth,Efie
371,hearth,muka
372,hearth,fononoo
373,hearth muscle,Akoma ho ntinintini
374,heat,Ɔhyew
375,hibernation,Bɔ woho adwaa
376,host,Nea ɔgye hohoɔ
377,human,Nnipa
378,human cell,Nnipa mu akwaawa
379,humid,Nsuo ɛwɔ wiem
380,hurricane,Ɛpo mu mfamahyew
381,hypothesis,Nimdeɛ mu bɔtrimuka
382,identical,Edi nsɛ
383,identification,Ahyɛnsode
384,identify,Hyɛ ne nso
385,illuminate,Ma ɛhan
386,illuminate,hyerɛn
387,illustrate,Yi kyerɛ
388,illustrate,yɛ nhwɛso
389,inclined plane,Ntweaseɛ a akyea
390,increase,Ɛkɔ soro
391,independent,Odi neho so
392,indicate,Kyerɛ
393,indirect,Ɛnnyɛ pɔtee
394,individual,Ankorankorɛ
395,infection,Nsaneyareɛ
396,infectious disease,Nsaneyareɛ
397,information,Nsɛm
398,inherit,Bedi adeɛ
399,inheritance,Adedie
400,instrument,Anwenade
401,interact,Di nsawɔsoɔ
402,interact,di nkitaho
403,interaction,Nsawɔsodie
404,interaction,nkitahodi
405,interior,Emu
406,internal,Emu
407,interpret,Kyerɛ aseɛ
408,inversion,Edi adane
409,investigation,Nhwehwɛmu
410,ion,Ion
411,ionic bond,Ionik mfamho
412,iron (Fe),Dadeɛ iron
413,iron (Fe),Fe
414,jellyfish,Nsuomu aboa
415,joint,N’apɔso
416,kilogram (kg),Kilogram
417,kilogram (kg),kg
418,kiloliter (kl),Kilolita
419,kiloliter (kl),kl
420,kilometer (km),Kilometa
421,kinetic energy,Kinɛtik ahoɔden
422,kingdom,Ahinie
423,kingdom,ahenni
424,knowledge,Nimdeɛ
425,label,Ahyɛnsodeɛ
426,landslide,Asaase dwiri
427,large intestine,Nsono akɛseɛ
428,larva,Osa
429,laser,Lesa kaneɛ
430,layer,Ntasoɔ
431,layer,nkataso
432,leaf,Ahahan
433,learned,Y’asua
434,learned adaptation,Abrabɔ a y’asua
435,leaves,Nhaban
436,lever,Daban
437,life cycle,nkwa kyinhyiadi
438,life span,Abɔdeɛ nkwanna
439,lift,Kukru
440,lift,ma so
441,light,Kanea
442,light,hann
443,light-years,Kanea mfeɛso
444,lines of force,Ahoɔden nsensaneɛ
445,link,Atoatoa
446,liquid,Adeɛ ɛyɛ nsuonsuo
447,list,Tweɛtwerɛ
448,liter (L),Lita
449,liter (L),L
450,liver,Brɛboɔ
451,living things,Abɔdeɛ a ɛtease
452,Location,Faako
453,Location,beae
454,Locomotion,Nanteɛ
455,Loudness,Anoden
456,Lungs,Aherawa
457,Lungs,ahurututu
458,Luster,Ɛhan
459,Machine,Afidie
460,Magnet,Stim
461,Magnet,Magnɛt
462,Magnetism,Ɛfa stim ho
463,Maintain,Kora
464,Maintenance,Adekora
465,Major,Titiriw
466,Manage,Toto
467,mantle,Nduraho
468,map,Map
469,map,asase mfonini
470,mass,Mass
471,material,Adeɛ
472,materials,Nneɛma
473,mathematics,Nkonta
474,measure,Susu
475,measurement,Nsusueɛ
476,mechanical energy,Mfidie mu ahoɔden
477,medium,Deɛ adeɛ namso
478,meiosis,Meiosis
479,melting,Ɛrenane
480,metal,Dadeɛ
481,metallic bond,Dadeɛ mu mfamho
482,meter (m),Basafa
483,methane,Metane
484,method,Nhyehyɛdeɛ
485,method,sɛnea wɔyɛ biribi
486,migration,Akwantuo
487,Milky Way,nsoromakuw a yehu
488,milligram (mg),milligram
489,milligram (mg),mg
490,milliliter (ml),millilita
491,milliliter (ml),ml
492,millimeter (mm),millimeta
493,millimeter (mm),mm
494,mineral,Asaase mu agudeɛ
495,mitochondria,Mitokondria
496,mitosis,Sɛll nkyekyɛmu
497,moisture,Nsuo
498,molecule,Molekule
499,mollusk,Ɛnwa abusua
500,monthly,Bosome bosome
501,Monera,Monera
502,monoculture,Amamerɛ krɔ
503,monoculture,afifide koro
504,moon,Bosome
505,moon,ɔsram
506,motion,Ahokeka
507,motor,Moto
508,mountain,Bepɔ
509,mouth,Anom
510,movement,Anamɔntutuo
511,movement of plates,Plɛte anamɔntutuo
512,mucus,Amaman
513,muscle,Ntini
514,muscle tissue,Ntini akwaa
515,muscular system,Ntini ho nhyehyɛeɛ
516,negative,Etwam
517,nervous system,Aboa adwene
518,net force,Tumi no nsesa
519,neuron,Adwenemu fa
520,neutral,Onni afa biara
521,neutron,Neutro
522,Newton,Newton
523,niche,Tenebea
524,niche,tenabea
525,nimbus,Ɛhan atwa kanko
526,nitrogen,Nitrogen
527,nonliving things,Abɔdeɛ a ɛntease
528,nonmetal,Deɛ ɛnnyɛ dadeɛ
529,nose,Ɛhwene
530,nucleus,Nukleus
531,nutrient,Aduane mu nnuro
532,object,Adeɛ
533,objective,Nokwafoɔ
534,obtained,Nya
535,occur,Esi
536,ocean,Ɛpo baatan
537,ocean,asu bun
538,odor,Pampan
539,offspring,Deɛ y’awoɔ
540,offspring,aseni
541,ooze,Epu frimu
542,opinion,Adwenkyerɛ
543,orbit,Kanko
544,order,Ahyɛdeɛ
545,organ,Nipadua mu akwaa
546,organelle,Nipadua mu akwaawa
547,organism,Abɔdeɛ a ɛtease
548,organize,Toto
549,organize,hyehyɛ
550,original,Ne tebea ankasa
551,ovary,Aboa
552,ovary,nnipa nkosua
553,overabundance,Aboroso pii
554,overcome,Di so
555,overpopulation,Emufoɔ dɔɔso dodo
556,oxygen,Ɔksegen
557,oxygen,mframa pa
558,ozone,Mframagya ozone
559,parallel circuit,Ntwaho a enhyia
560,parent cell,Awofoɔ no sɛll
561,particle,Adeɛ
562,pattern,Anweneɛ
563,pedigree chart,Dibea ho nfonin
564,perceive,Susu sɛ
565,"percent, percentage",Ɔha mu nkyemu
566,period,Berɛ bi
567,petroleum,Famngo
568,phases,Ɛfa
569,phenomena,Anwanwadeɛ
570,phosphorus,Phosphorus
571,physical,Deɛ anihunu
572,physical change,Deɛ anihunu nsesae
573,picture,Nfonin
574,pie,Atwa kanko
575,pitch,Ɛnee nnyegyeɛ
576,planet,Kyinsroma
577,planet,okyinsoroma
578,plant,Mfueɛ
579,plant,afifide
580,Plantae,Mfueɛ kubaatan
581,plate,Plɛte
582,poison,Awuduro
583,pollen,Polen
584,pollution,Efiyɔ
585,position,Gyinabea
586,positive,Ɛyɛ papa
587,precipitation,Nsutɔ
588,predator,Deɛ okum
589,presence,Sɛ ɛwɔ hɔ
590,presence,mprempren
591,preserve,Kora so
592,pressure,Nhyɛsoɔ
593,previous,Dada deɛ
594,previous,nea atwa mu
595,probable,Deɛ ebetumi aba
596,probable,ebia
597,produce,yɛ
598,producer,nea ɔyɔeɛ
599,prokaryotic,Prokaryotik
600,property,Agyapadeɛ
601,properties,Yɛbea ahodoɔ
602,protect,Bɔ ho ban
603,protein,Aduane duro proten
604,Protista,Protista
605,proton,Proton
606,provide,Fama
607,pulley,Ntwahodeɛ
608,Punnett square,Punnet adaka
609,pupa,Osa
610,purpose,Botae
611,pushes and pulls,Apiapia ne atwetwe
612,radiation,Radiehyɛn
613,radioactive,Etumi pu rediahyɛn
614,radioisotope,radioisotope
615,rarefaction,Sɛso a akyea
616,rate,Anosom
617,ray,Ɛkan
618,react,Ma anoyie
619,reactant,Nea ɛma muaeɛ
620,rearrange,Hyehyɛ bio
621,reason,Nyinasoɔ
622,reason,atirmpɔw
623,receive,gye
624,recessive,Y’ahyɛneso
625,recognize,Hyɛ ne nso
626,record,Kye to hɔ
627,record,kyerɛw to hɔ
628,rectum,Trumuu
629,recycle,Fadi dwuma bio
630,reduce,Teso
631,refer,Dane ma
632,reflect,Twa wo sɛso
633,reflex,Ahokeka
634,regulation,Hyɛ ho mmara
635,relationship,Twaka
636,release,Gyae mu
637,relevant,Mfasoɔ wɔ so
638,remain the same,Aka hɔ saa
639,remains,Nkaseɛ
640,remains,nea aka
641,repair,Siesie
642,represent,Si ananmu
643,reproduce,Wo
644,reproduction,Ɛfa awoɔ ho
645,reptile,mmoa a wɔwea
646,required,Ɛyɛ nhyɛ
647,required,ahwehwɛde
648,required,ahiade
649,resist,Si kwan
650,resist,ko tia
651,resistant to,Adeɛ ntumi no
652,resource,Nnepa
653,respiration,Ahomee
654,respiratory system,Ahomee ho nhyehyɛeɛ
655,respond,Ma muaeɛ
656,respond,yi ano
657,response,Muaeɛ
658,response,ano yi
659,responsible,Deɛ ntia
660,responsible,asɛde
661,restore,Hyɛ anan mu
662,result,Deɛ ɛkɔ wie
663,reverse,Akyirikɔ
664,revolve,Etwa fa ho
665,rock,Botan
666,rock cycle,Botan bra ntwaho
667,role,Dwumadie
668,root,Nhini
669,rotate,Etwa ne ho
670,rotation,Ntwaho
671,runoff,Nsusuan
672,rust,Wenaakyene
673,rust,nkanare
674,saliva,Ntɛsuo
675,salivate,Wore twa ntɛsuo
676,samples,Mfatoho
677,samples,nhwɛsode ahorow
678,scale,Nsɛneɛ
679,scale,nsɛnia
680,scarce,Ɛho yɛden
681,scarce,ɛho yɛ na
682,science,Abɔdeɛ mu nyansapɛ
683,science,Abɔde mu nyansahu
684,scrape,Wrɛwrɛ
685,screw,Skruu
686,sea level,Ɛpo gyinabre
687,season,Mmerɛ
688,secondary,Akyiriadeɛ
689,secondary,ntoaso
690,sediment,Adeɛ ada aseɛ
691,seed,Aduaba
692,seedling,Dua a afefɛ
693,seep,Enwunu
694,select,Yiyi
695,select,paw
696,sense,Atenka
697,sequencing,Ɛrehyehyɛ
698,settle,Ada aseɛ
699,sewage,Nsu fi
700,shape,Abosuo
701,shield volcano,Bepɔ mu nsugya
702,shiver,Awosoɔ
703,shiver,ahopopo
704,significant,Ehia
705,similarity,Edi nsɛ
706,siren,Alam
707,situation,Tebea
708,size,Adeɛ bi kɛseɛ
709,skeletal muscle,Nnompe ho ntini
710,skeletal system,Nnompe nhyehyɛeɛ
711,shy,Fɛreɛ
712,small intestine,Nson ketewa
713,smog,Nwusie
714,soil,Anwea
715,soil,dɔte
716,soil texture,Sɛdeɛ anwea
717,solar eclipse,Nsroma kye awia
718,solar system,Owia nhyehyɛdeɛ
719,solar system,okyin nsoroma
720,solid,Ɛyɛ den
721,solidification,Ɛreyɛ den
722,sound,Ɛnee nyegyeɛ
723,sound,nnyigyei
724,source,Ne farebae
725,source,fibea
726,space,Ewiemu
727,space,ahun mu
728,space,ahummu
729,specialize,Kwadaremu
730,specialize,ho akokwaw mu
731,specific,Pɔtee
732,specimens,Mfatoho
733,specimens,nsusuwso
734,speed,Mmirika
735,Spill,Pigu
736,Spill,puw gu
737,spinal cord,Akyi brɛmo
738,Sponge,Sapɔ
739,Spore,Mfrofrowa
740,Spring,Atwetan
741,spring scale,atwetan nsɛneɛ
742,Sprout,Afefɛ
743,Squint,Nyinya w’anim
744,Stable,Enhinhim
745,Stages,Gyinabrɛ ahodoɔ
746,Star,Nsroma
747,Starch,Stakye
748,State,Tebea
749,Stem,Dua mfinfnin
750,stimulus,Nkenyan hyɛ
751,stomach,Yafunu
752,Strain,Ahokyerɛ
753,Strategy,Ntotoeɛ
754,Strato,Strato
755,structure,Nhyehyɛdeɛ
756,sublimation,Adeboɔ dane mframa
757,substance,Adeɛ
758,Sugar,Asikyire
759,sulfuric acid,Sulfurik  asid
760,summarize,Bɔ ne tɔfa
761,summarize,bɔ no mua
762,Sun,Owia
763,supernova,Supanova
764,supernova,nsoroma a etu
765,Support,Mmoa
766,Surface,Anii
767,Survey,Mfeefeemu
768,Swamp,Afrɔ mu
769,Sweat,Mfifire
770,Switch,Sesa mu
771,System,Nhyehyɛeɛ
772,Table,Ɛpono
773,table salt,Ɛnkyene a yɛdi
774,Tadpole,Konkontibaa
775,technology,Abɛɛfo mfidie
776,test,Nsɔhwɛ
777,theory,Nimdeɛ mu botrimuka
778,thunderstorm,Apranaa dwidwam
779,tide,Asrɔkye
780,tilt,Akyea
781,tilted,Ɛkyeaɛ
782,time,Berɛ
783,tissue,Abɔdeɛ mu adeɛ
784,tool,Anwenade
785,tornado,Ohum
786,tornado,ahum
787,trait,Su
788,transport,Akɔneaba die
789,transport system,Akɔneabadie nhyehyɛeɛ
790,transverse,mmeamu
791,transverse,ntwamu
792,trench,Amena
793,trial,Nsɔhwɛ
794,trough,Adididaka
795,turbine,Drobɛn kɛseɛ
796,type,Asɔɔto
797,type,ahorow yɛ
798,undergo metamorphosis,Ɛfa nsesaeɛ mu
799,unequal,Ɛnnyɛ pɛ
800,unique,Ɛda nso
801,universe,Ewiase
802,universe,amansan
803,unstable,Ennyina yie
804,valley,bon
805,vapor,Ntutuo
806,variable,Nea etumi sesa
807,variation,Emu nsesa
808,variety,Ahodoɔ
809,vascular system,Ntinintini nhyehyɛeɛ
810,vegetable,Atosodeɛ
811,vehicle,Kaa
812,velocity,Mmirika
813,vertebrate,Ɛwɔ akyi dompe
814,vibrate,ɛwosow
815,visible,Ani tumi hunu
816,vitamin,Nuane nnuro
817,volcano,bepɔ a apae
818,volume,Emu kɛseɛ
819,warm,Dedɛɛdedɛɛ
820,warm,boturobodwo
821,water,Nsuo
822,water cycle,Nsuo ntwaho
823,water cycle,nsu kyinhyiadi
824,water vapor,Ntutuo
825,wavelength,Mframa teneten
826,weather,Ewiem nhyehyɛeɛ
827,weathering,Aboɔ mu nwenweɛ
828,weight,Emu duro
829,wind,Mframa
830,wind,ahum
831,wise,Nyansa
832,work,Adwuma
833,wrinkle,Atwintwam
834,zone,Bea
835,zygote,Kosua a ahane
